id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1386,Copper,,lv-7,,,,0.0009289856321,11.27225967,-8.758355047,-1.8938875,11.30083467,-7.309688591,-1.8653125,11.28654717,-8.758355047,11.28654717,-7.309688591,1.448666456,-1.8796,-1.8796,,,,plumbing,,
pi-1387,Copper,,lv-7,,,,0.001146402585,6.576042337,-1.33985,13.2699125,6.604617337,0.4478579176,13.2984875,6.590329837,0.4478579176,6.590329837,-1.33985,1.787707918,13.2842,13.2842,,,,plumbing,,
pi-1388,Copper,,lv-8,,,,0.0004458907238,15.5178125,2.5860375,17.3339125,15.5463875,3.2813625,17.3624875,15.5321,2.5860375,15.5321,3.2813625,0.695325,17.3482,17.3482,,,,plumbing,,
pi-1389,Copper,,lv-8,,,,0.001279645296,6.8818125,2.6368375,17.3339125,6.9103875,4.632325,17.3624875,6.8961,4.632325,6.8961,2.6368375,1.9954875,17.3482,17.3482,,,,plumbing,,
pi-1390,Copper,,lv-8,,,,0.0006800342546,-9.1265375,2.5860375,17.3339125,-9.0979625,3.6464875,17.3624875,-9.11225,2.5860375,-9.11225,3.6464875,1.06045,17.3482,17.3482,,,,plumbing,,
pi-1391,Copper,,lv-10,,,,2.230836109E-05,-6.7357625,7.9803625,19.0134875,-6.7198875,7.9962375,19.1262,-6.727825,7.9883,-6.727825,7.9883,0.1127125,19.1262,19.0134875,,,,plumbing,,
pi-1392,Copper,,lv-10,,,,2.167995655E-05,-6.7135375,7.9803625,18.9912625,-6.604,7.9962375,19.0071375,-6.7135375,7.9883,-6.604,7.9883,0.1095375,18.9992,18.9992,,,,plumbing,,
pi-1393,Copper,,lv-10,,,,2.058024861E-05,-6.59765,7.9803625,18.88093125,-6.581775,7.9962375,18.9849125,-6.5897125,7.9883,-6.5897125,7.9883,0.10398125,18.9849125,18.88093125,,,,plumbing,,
pi-1394,Copper,,lv-10,,,,0.0004266866812,-6.59765,5.8181875,18.5848625,-6.581775,7.9740125,18.6007375,-6.5897125,7.9740125,-6.5897125,5.8181875,2.155825,18.5928,18.5928,,,,plumbing,,
pi-1395,Copper,,lv-10,,,,0.0004552790876,-6.575425,5.7959625,18.5848625,-4.2751375,5.8118375,18.6007375,-6.575425,5.8039,-4.2751375,5.8039,2.3002875,18.5928,18.5928,,,,plumbing,,
pi-1396,Copper,,lv-10,,,,5.467119479E-05,-4.2687875,5.7959625,18.3022875,-4.2529125,5.8118375,18.5785125,-4.26085,5.8039,-4.26085,5.8039,0.276225,18.5785125,18.3022875,,,,plumbing,,
pi-1397,Copper,,lv-10,,,,0.0002601594786,-4.2687875,5.8181875,18.2800625,-4.2529125,7.1326375,18.2959375,-4.26085,5.8181875,-4.26085,7.1326375,1.31445,18.288,18.288,,,,plumbing,,
pi-1398,Copper,,lv-10,,,,1.225388849E-05,-4.2465625,8.0597375,18.3816625,-4.18465,8.0756125,18.3975375,-4.18465,8.067675,-4.2465625,8.067675,0.0619125,18.3896,18.3896,,,,plumbing,,
pi-1399,Copper,,lv-10,,,,1.445330437E-05,-4.2687875,8.0597375,18.3022875,-4.2529125,8.0756125,18.3753125,-4.26085,8.067675,-4.26085,8.067675,0.073025,18.3753125,18.3022875,,,,plumbing,,
pi-1400,Copper,,lv-10,,,,3.33054405E-05,-4.2687875,7.8851125,18.2800625,-4.2529125,8.0533875,18.2959375,-4.26085,8.0533875,-4.26085,7.8851125,0.168275,18.288,18.288,,,,plumbing,,
pi-1401,Copper,,lv-10,,,,1.539591118E-05,-4.352925,7.8565375,18.3816625,-4.2751375,7.8724125,18.3975375,-4.352925,7.864475,-4.2751375,7.864475,0.0777875,18.3896,18.3896,,,,plumbing,,
pi-1402,Copper,,lv-10,,,,1.319649529E-05,-4.2687875,7.8565375,18.3086375,-4.2529125,7.8724125,18.3753125,-4.26085,7.864475,-4.26085,7.864475,0.066675,18.3753125,18.3086375,,,,plumbing,,
